id,brand,model,year
1,Infiniti,Q,1992
2,Lotus,Esprit,1990
3,Ford,F350,2007
4,Cadillac,Escalade,2002
5,MINI,Cooper,2009
6,Chevrolet,Lumina,1999
7,Ford,Crown Victoria,2010
8,Chevrolet,Astro,1996
9,BMW,M5,2007
10,Volvo,S60,2009
11,BMW,X6,2013
12,Mercedes-Benz,300D,1993
13,Chevrolet,Avalanche 2500,2004
14,Saab,9-3,2003
15,Volkswagen,Beetle,1967
16,Dodge,Ram Van 2500,1995
17,BMW,5 Series,2006
18,Ford,Crown Victoria,2003
19,Honda,Civic Si,2005
20,Dodge,Ram Van 1500,1999
21,Pontiac,Grand Prix,1992
22,Chevrolet,Avalanche 1500,2003
23,Dodge,Stealth,1994
24,Lotus,Esprit,1989
25,Pontiac,Vibe,2009
26,Honda,Insight,2002
27,Chrysler,Town & Country,2012
28,Volkswagen,Jetta,2006
29,Toyota,RAV4,2008
30,BMW,X5,2001
31,GMC,Rally Wagon 2500,1993
32,Porsche,Boxster,2001
33,Ford,Thunderbird,1965
34,Acura,RL,2004
35,Toyota,Tacoma,2001
36,Nissan,Pathfinder,1996
37,Subaru,Impreza WRX,2011
38,Acura,MDX,2006
39,Mazda,Tribute,2004
40,Dodge,Ram Van 2500,2001
41,Oldsmobile,Achieva,1992
42,Dodge,Ram Van B250,1994
43,Chevrolet,Colorado,2004
44,Honda,CR-V,2005
45,Ford,Flex,2009
46,Volkswagen,GTI,2008
47,Toyota,Celica,1976
48,GMC,Savana,2010
49,Infiniti,FX,2003
50,Mercury,Cougar,1997
